"806","YUPIK 1KG - ORGANIC APRICOTS","YUPIK 1KG - ABRICOTS BIOLOGIQUES"
"807","YUPIK 1KG - ORGANIC SULTANA RAISINS","YUPIK 1KG - RAISINS SULTANA (BIO)"
"808","YUPIK 1KG - ORG. CALIFORNIA FLAME RAISINS","YUPIK 1KG - RAISINS FLAME CALIFORNIE (BIO)"
"809","YUPIK 1KG - ORGANIC THOMPSON RAISINS/USA","YUPIK 1KG - RAISINS THOMPSON/USA (BIO)"
"810","YUPIK 1KG - ORGANIC MANGO SLICED","YUPIK 1KG - MANGUES TRANCHÉES (BIO)"
"811","YUPIK 1KG - ORGANIC DICED MANGO","YUPIK 1KG - MANGUES EN DÉS BIO"
"812","YUPIK 1KG - ORGANIC MISSION FIGS","YUPIK 1KG - FIGUES MISSION (BIO)"
"816","YUPIK 1KG - ORGANIC DICED PINEAPPLE","YUPIK 1KG - ANANAS EN DÉS BIOLOGIQUES"
"817","YUPIK 1KG - ORGANIC DESICCATED FINE COCONUT","YUPIK 1KG - NOIX DE COCO BIOLOGIQUE (FINE)"
"820","YUPIK 1KG - ORGANIC MEDJOOL DATES","YUPIK 1KG - DATTES MEDJOOL BIOLOGIQUE"
"821","YUPIK 1KG - ORGANIC PITTED DATES","YUPIK 1KG - DATTES DÉNOYAUTÉES (BIO)"
"830","YUPIK 1KG - ORGANIC EU RAW ALMONDS","YUPIK 1KG - AMANDES EU CRUES (BIO)"
"831","YUPIK 1KG - ORG. BLANCHED POWDER ALMOND","YUPIK 1KG - AMANDES EN POUDRE BLANCHIES (BIO)"
"835","YUPIK 1KG - ORGANIC FILBERT","YUPIK 1KG - AVELINES BIOLOGIQUES"
"837","YUPIK 1KG - ORGANIC BRAZIL NUTS","YUPIK 1KG - NOIX DU BRÉSIL BIOLOGIQUE"
"840","YUPIK 1KG - ORGANIC PECAN 1/2","YUPIK 1KG -  PACANES DEMIES (BIO)"
"842","YUPIK 1KG - ORGANIC RAW CASHEWS","YUPIK 1KG - CAJOUS CRUS ENTIERS (BIO)"
"845","YUPIK 1KG - ORGANIC PISTACHIO KERNEL","YUPIK 1KG - PISTACHES CRUES ÉCALÉES (BIO)"
"846","YUPIK 1KG - ORGANIC SALTED PISTACHIOS","YUPIK 1KG - PISTACHES RÔTIES SALÉES (BIO)"
"849","YUPIK 1KG - ORGANIC DRY SPLIT PEANUTS","YUPIK 1KG - ARACHIDES RÔTIES À SEC SPLIT (BIO)"
"855","YUPIK 1KG - ORGANIC  WALNUTS","YUPIK 1KG - NOIX DE GRENOBLE (BIO)"
"865","YUPIK 1KG - ORG. PUMPKIN SEEDS AA","YUPIK 1KG - GRAINES DE CITROUILLE AA (BIO)"
"866","YUPIK 1KG - ORG. EU PUMPKIN SEEDS","YUPIK 1KG - GRAINES CITROUILLE EU (BIO)"
"868","YUPIK 1KG - ORGANIC SHELLED SUNFLOWER","YUPIK 1KG - TOURNESOL CRUE SANS ÉCA. (BIO)"
"870","YUPIK 1KG - ORGANIC BLACK CHIA SEEDS","YUPIK 1KG - GRAINES DE CHIA BIOLOGIQUES"
"872","YUPIK 1KG - ORGANIC WHITE QUINOA","YUPIK 1KG - QUINOA BLANC BIOLOGIQUE"
"873","YUPIK 1KG - ORGANIC  RED QUINOA","YUPIK 1KG - QUINOA ROUGE BIOLOGIQUE"
"880","YUPIK 1KG - ORGANIC HULLED SESAME SEEDS","YUPIK 1KG - GRAINES DE SÉSAME DÉCORTIQUÉES (BIO)"
"881","YUPIK 1KG - ORGANIC NAT. SESAME SEEDS","YUPIK 1KG - GRAINES DE SÉSAME NATURELLES (BIO)"
"885","YUPIK 1KG - ORGANIC BROWN FLAX SEEDS","YUPIK 1KG - GRAINES DE LIN BRUN (BIO)"
"886","YUPIK 1KG - ORGANIC GOLDEN FLAX SEEDS","YUPIK 1KG - GRAINES DE LIN DORÉES (BIO)"
"889","YUPIK 1KG - ORGANIC POPCORN","YUPIK 1KG - MAIS À ÉCLATER (BIO)"
"892","YUPIK 1KG - SUPER 6 ORGANIC SEEDS MIX","YUPIK 1KG - MÉLANGE SUPER 6 GRAINS BIO"
"893","YUPIK 1KG - ORG. 70% DARK CHOCO CHIPS - 1000 CT","YUPIK 1KG - PEPITES CHOCO NOIR 70%-1000 CT(BIO)"
"894","YUPIK 1KG - ORGANIC GAÏA MIX","YUPIK 1KG - MÉLANGE GAÏA BIOLOGIQUE"
"895","YUPIK 1 KG - ORGANIC SUNNY SOUP MIX","YUPIK 1 KG - MÉLANGE À SOUPE ENSOLEILLÉ BIO"
"896","YUPIK 1KG - ORGANIC ANDALUCIA MIX","YUPIK 1KG - MÉLANGE D'ANDALOUSIE BIOLOGIQUE"
"897","YUPIK 1KG - ORGANIC SAFARI MIX","YUPIK 1G - MÉLANGE SAFARI (BIO)"
"898","YUPIK 1KG - ORGANIC GOJI ADVENTURE MIX","YUPIK 1KG - MÉLANGE GOJI AVENTURE (BIO)"
"899","YUPIK 1KG - ORGANIC HEALTH MIX","YUPIK 1KG - MÉLANGE BIO SANTÉ"
"900","YUPIK 1KG - ORGANIC GOJI SPORT MIX","YUPIK 1KG - MÉLANGE GOJI SPORTIF (BIO)"
"901","YUPIK 1KG - ORGANIC PALLADIUM MIX","YUPIK 1KG - MÉLANGE PALLADIUM BIOLOGIQUE"
"1028","350G YUPIK NATURAL ALMONDS","350G YUPIK AMANDES NATURELLES"
"1035","350G YUPIK SALTED ALMONDS","350G YUPIK AMANDES SALÉES"
"1090","350G YUPIK  SALTED CASHEWS","350G YUPIK  CAJOUS SALÉS"
"1135","225G YUPIK WALNUTS","225G YUPIK GRENOBLES"
"1180","250G YUPIK SALTED PISTACHIOS","250G YUPIK PISTACHES SALÉES"
"1600","250G YUPIK SPICY JOE MIX","250G YUPIK MÉLANGE SPICY JOE"
"1610","350G YUPIK CAMP MIX","350G YUPIK MÉLANGE DES BOIS"
"1620","275G YUPIK VILLAGE MIX","275G YUPIK MÉLANGE DU VILLAGE"
"1900","155G YUPIK  RICE CRACKERS","155G YUPIK CROUSTILLES DE RIZ"
"1905","185G YUPIK JAPANESE MIX","185G YUPIK MÉLANGE JAPONNAIS"
"1930","105G YUPIK SPICY CRACKERS","105G YUPIK CROUSTILLES SOLEIL CHAUD"
"1960","180G YUPIK SOYA STICKS (CHILI & LIME)","180G YUPIK BÂTONNETS DE SOYA(CHILI ET LIME)"
"6301","160G KANOO SOUR TWO COLOR MINI BONES","160G KANOO MINI OS AU DEUX COULEURS"
"6302","160G KANOO BANANA CHEWS","160G KANOO BANANES DOUX"
"6303","160G KANOO JELLY TURTLES","160G KANOO TORTUES EN GELÉE"
"6304","160G KANOO CREAMY CREME BRULEE","160G KANOO CRÈME BRULÉE CRÉMEUSE"
"6305","160G KANOO GUMMY MINI BUTTERFLIES","160G KANOO PAPILLONS EN GELÉE"
"6306","160G KANOO INTENSE COLA BOTTLES","160G KANOO COLA SAVEUR INTENSE"
"6307","160G KANOO MAPLE LEAF JELLY GUMMIES","160G KANOO FEUILLES D’ÉRABLES EN GELÉE"
"6308","160G KANOO GUMMY HOT RED PEPPERS","160G KANOO PIMENT EN GELÉE EPICÉ"
"6309","160G KANOO GREEN APPLES","160G KANOO POMMES VERTES"
"6310","160G KANOO GUMMY KIWI TWISTS","160G KANOO KIWIS SÛRS EN GELÉ"
"6311","160G KANOO SOUR FRUIT TONGUES","160G KANOO LANGUES SURES"
"6312","160G KANOO STAR GUMMY SUGAR TWISTS","160G KANOO ETOILES SPIRALES EN GELÉE"
"6313","160G KANOO PEACH PENGUIN WITH FRUIT JUICE","160G KANOO PINGOUIN À LA PÊCHE AU JUS DE FRUIT"
"6314","160G KANOO GUMMY CARAMEL KISSES","160G KANOO BISOU DE CARAMEL EN GELÉE"
"8001","150G ELAN ORGANIC APPLE JUICE CRANBERRIES","150G ELAN CANNEBERGES JUS DE POMME BIO"
"8025","175G ELAN  ORGANIC GINGER CHUNKS","175G ELAN  GINGEMBRE EN CUBES BIO"
"8040","175G ELAN ORG. DRIED CRANBERRIES","175G ELAN CANNEBERGES SÉCHÉES BIO"
"8043","200G ELAN ORG. SUN-DRIED APRICOTS","200G ELAN ABRICOTS SÉCHÉS AU SOLEIL BIO"
"8045","225G ELAN ORG. PITTED PRUNES","225G ELAN PRUNEAUX DÉNOYAUTÉS BIO"
"8050","225G ELAN ORG. SUN-DRIED THOMPSON RAISINS","225G ELAN RAISINS THOMPSON SÉCHÉS AU SOLEIL BIO"
"8052","200G ELAN ORG. SUN-DRIED GREEN RAISINS","200G ELAN RAISINS VERTS SÉCHÉS AU SOLEIL BIO"
"8055","135G ELAN ORG. BANANA CHIPS","135G ELAN BANANES SÉCHÉES BIO"
"8060","175G ELAN ORG. GINGER CHUNKS","175G ELAN GINGEMBRE EN CUBES BIO"
"8065","125G ELAN ORG. COCONUT SMILES","125G ELAN NOIX DE COCO SOURIRES BIO"
"8067","105G ELAN ORG. PINEAPPLE CHUNKS","105G ELAN MORCEAUX D'ANANAS BIO"
"8070","140G ELAN ORG. GOJI BERRIES","140G ELAN BAIES DE GOJI BIO"
"8072","125G ELAN ORG. WHITE MULBERRIES","125G ELAN MÛRES BLANCHES BIO"
"8080","185G ELAN ORG. PITTED DATES","185G ELAN DATTES DÉNOYAUTÉES BIO"
"8082","125G ELAN ORG. MANGO SLICES","125G ELAN TRANCHES DE MANGUE BIO"
"8220","200G ELAN ORG. RAW ALMONDS","200G ELAN AMANDES CRUES BIO"
"8221","175G ELAN ORG. TAMARI ALMONDS","175G ELAN AMANDES TAMARI BIO"
"8228","185G ELAN ORG. RAW CASHEWS","185G ELAN NOIX DE CAJOUS CRUES BIO"
"8235","150G ELAN ORG. WALNUTS","150G ELAN NOIX DE GRENOBLE BIO"
"8240","185G ELAN ORG. RAW BRAZIL NUTS","185G ELAN NOIX DE BRÉSIL CRUES BIO"
"8243","165G ELAN ORG. RAW HAZELNUTS","165G ELAN NOISETTES CRUES BIO"
"8245","145G ELAN ORG. SEA SALTED PISTACHIOS","145G ELAN PISTACHES AU SEL DE MER BIO"
"8247","135G ELAN ORG. RAW PISTACHIOS","135G ELAN PISTACHES CRUES BIO"
"8250","125G ELAN ORG. RAW PECANS","125G ELAN PACANES CRUES BIO"
"8320","150G ELAN ORG. HIMALAYAN SUNSHINE MIX","150G ELAN MÉLANGE SOLEIL HIMALAYEN BIO"
"8321","150G ELAN ORG. RAINFOREST MIX","150G ELAN MÉLANGE FORÊT TROPICALE BIO"
"8322","150G ELAN ORG. WONDER MIX","150G ELAN MÉLANGE MERVEILLES BIO"
"8323","150G ELAN ORG. SAFARI MIX","150G ELAN MÉLANGE SAFARI  BIO"
"8324","150G ELAN ORG. MEDITERRANEAN MIX","150G ELAN MÉLANGE MÉDITERRANÉEN BIO"
"8492","275G ELAN ORG. FLAX SEEDS","275G ELAN GRAINES DE LIN BIO"
"8493","185G ELAN ORG. PUMPKIN SEEDS","185G ELAN GRAINES DE CITROUILLE BIO"
"8494","200G ELAN ORG. SUNFLOWER SEEDS","200G GRAINES DE TOURNESOL BIO"
"8495","165G ELAN ORG. HULLED HEMP SEEDS","165G ELAN GRAINES DE CHANVRE ÉCALÉES BIO"
"8496","250G ELAN ORG. CHIA SEEDS","250G ELAN GRAINES DE CHIA BIO"
"8498","250G ELAN ORG. WHOLE SESAME SEEDS","250G ELAN GRAINES DE SÉSAME ENTIÈRES BIO"
"8505","426G ELAN ORG. ANCIENT BLACK RICE","426G ELAN RIZ NOIR ANCESTRAL BIO"
"8511","426G ELAN ORG AUTUMN HARVEST RICE-FAIR TRADE","426G ELAN  RIZ MOISSON D'AUTOMNE BIO-EQUITABLE"
"8512","426G ORG ELAN  ANGKOR FRAGRANT RICE - FAIR TRADE","426G ELAN  RIZ ANGKOR AROMATIQUE BIO - EQUITABLE"
"8530","426G ELAN  ORGANIC WHITE QUINOA","426G ELAN  QUINOA BLANC BIO"
"8540","426G ELAN ORG. WHITE QUINOA","426G ELAN QUINOA BLANC BIO"
"8541","426G ELAN ORG. TRICOLOR QUINOA","426G ELAN QUINOA TRICOLOR BIO"
"8542","426G ELAN ORG. RED QUINOA","426G ELAN QUINOA ROUGE BIO"
"8555","426G ELAN ORG. WHITE AMARANTH","426G ELAN AMARANTE BLANC BIO"
"8578","250G ELAN  ORGANIC SPROUTED BUCKWHEAT","250G ELAN  SARRASIN GERMÉ BIO"
"8610","426G ORGANIC SPROUTED BUCKWHEAT","426G SARRASIN GERMÉ BIO"
"8665","140G ELAN ORG. COCA NIBS","140G ELAN CACAO CRU-FEVES DE CACAO BIO"
"8667","180G ELAN ORG. CHOCO NIBS WRAPPED","180G ELAN BRISURES DE FÈVES DE CACAO EN. BIO"
