"#","Cod","Title EN","Title FR"
"154","1930","105G YUPIK SPICY CRACKERS","105G YUPIK CROUSTILLES SOLEIL CHAUD"
"155","1960","180G YUPIK SOYA STICKS (CHILI & LIME)","180G YUPIK BÂTONNETS DE SOYA(CHILI ET LIME)"
"156","6301","160G KANOO SOUR TWO COLOR MINI BONES","160G KANOO MINI OS AU DEUX COULEURS"
"157","6302","160G KANOO BANANA CHEWS","160G KANOO BANANES DOUX"
"158","6303","160G KANOO JELLY TURTLES","160G KANOO TORTUES EN GELÉE"
"159","6304","160G KANOO CREAMY CREME BRULEE","160G KANOO CRÈME BRULÉE CRÉMEUSE"
"160","6305","160G KANOO GUMMY MINI BUTTERFLIES","160G KANOO PAPILLONS EN GELÉE"
"161","6306","160G KANOO INTENSE COLA BOTTLES","160G KANOO COLA SAVEUR INTENSE"
"162","6307","160G KANOO MAPLE LEAF JELLY GUMMIES","160G KANOO FEUILLES D’ÉRABLES EN GELÉE"
"163","6308","160G KANOO GUMMY HOT RED PEPPERS","160G KANOO PIMENT EN GELÉE EPICÉ"
"164","6309","160G KANOO GREEN APPLES","160G KANOO POMMES VERTES"
"165","6310","160G KANOO GUMMY KIWI TWISTS","160G KANOO KIWIS SÛRS EN GELÉ"
"166","6311","160G KANOO SOUR FRUIT TONGUES","160G KANOO LANGUES SURES"
"167","6312","160G KANOO STAR GUMMY SUGAR TWISTS","160G KANOO ETOILES SPIRALES EN GELÉE"
"168","6313","160G KANOO PEACH PENGUIN WITH FRUIT JUICE","160G KANOO PINGOUIN À LA PÊCHE AU JUS DE FRUIT"
"169","6314","160G KANOO GUMMY CARAMEL KISSES","160G KANOO BISOU DE CARAMEL EN GELÉE"
"170","7001","F.S-SULTANA RAISINS (RTU)","F.S-RAISINS SULTANA (RTU)"
"171","7002","F.S-CHOCOLATE CHIPS 4000 CT.","F.S-BRISURES CHOC COMP. 4000 CT."
